#            e                         p                        s                        T
       121.50847185294516        36.40317970385485        308.5093972196056       0.5118536193061053
       121.52732785584134        36.40908594626887          308.54623519355       0.5118727626121811
        121.5461838587375        36.41499221148239        308.5830717899124        0.511891903706766
       121.56503986163368        36.42089849949019       308.61990700895507       0.5119110425904564
       121.58389586452985        36.42680481028691        308.6567408509398       0.5119301792638482
       121.60275186742602        36.43271114386744       308.69357331612883       0.5119493137275376
        121.6216078703222        36.43861750022656       308.73040440478377       0.5119684459821204
       121.64046387321837         36.4445238793594       308.76723411716665       0.5119875760281931
       121.65931987611454       36.450430281260886         308.804062453539       0.5120067038663514
       121.67817587901071       36.456336705926226       308.84088941416246       0.5120258294971916
       121.69703188190688        36.46224315335067        308.8777149992985       0.5120449529213098
       121.71588788480305        36.46814962352942        308.9145392092086       0.5120640741393019
       121.73474388769922        36.47405611645791       308.95136204415405       0.5120831931517641
       121.75359989059541       36.479962632131574        308.9881835043961       0.5121023099592924
       121.77245589349158        36.48586917054598        309.0250035901959        0.512121424562483
       121.79131189638775        36.49177573169668        309.0618223018146       0.5121405369619317
       121.81016789928393       36.497682315579475        309.0986396395129       0.5121596471582351
        121.8290239021801        36.50358892219005        309.1354556035519       0.5121787551519889
       121.84787990507627       36.509495551524275       309.17227019419244        0.512197860943789
       121.86673590797244       36.515402203578134        309.2090834116951       0.5122169645342319
       121.88559191086861        36.52130887834758       309.24589525632047       0.5122360659239135
       121.90444791376478       36.527215575828784        309.2827057283291       0.5122551651134298
       121.92330391666096        36.53312229601785       309.31951482798155        0.512274262103377
       121.94215991955713       36.539029038911124       309.35632255553793       0.5122933568943513
        121.9610159224533        36.54493580450482        309.3931289112587       0.5123124494869483
       121.97987192534947        36.55084259279491       309.42993389540396       0.5123315398817628
       121.99872792824566        36.55674940377509        309.4667375082338       0.5123506280793818
       122.01758393114183        36.56265623743882        309.5035397500081       0.5123697140803912
         122.036439934038         36.5685630937794        309.5403406209869       0.5123887978853764
       122.05529593693417        36.57446997279032       309.57714012142986       0.5124078794949228
       122.07415193983034       36.580376874465244        309.6139382515969       0.5124269589096165
       122.09300794272652       36.586283798797695       309.65073501174743       0.5124460361300427
       122.11186394562269        36.59219074578152        309.6875304021412       0.5124651111567873
       122.13071994851886        36.59809771541045        309.7243244230375       0.5124841839904356
       122.14957595141503        36.60400470767846        309.7611170746958       0.5125032546315736
        122.1684319543112         36.6099117225794        309.7979083573752       0.5125223230807866
       122.18728795720737       36.615818760107345        309.8346982713352       0.5125413893386602
       122.20614396010355        36.62172582025643        309.8714868168346       0.5125604534057802
       122.22499996299972        36.62763290302084       309.90827399413257       0.5125795152827319
       122.24385596589589        36.63354000839488         309.945059803488       0.5125985749701013
       122.26271196879208         36.6394471363729        309.9818442451597       0.5126176324684738
       122.28156797168825        36.64535428694925        310.0186273194064       0.5126366877784349
       122.30042397458442        36.65126146011859        310.0554090264868       0.5126557409005704
       122.31927997748059        36.65716865587538       310.09218936665945       0.5126747918354658
       122.33813598037676        36.66307587421437        310.1289683401828       0.5126938405837068
       122.35699198327293        36.66898311513024       310.16574594731526       0.5127128871458788
        122.3758479861691        36.67489037861792        310.2025221883152       0.5127319315225678
       122.39470398906528       36.680797664672184       310.23929706344063        0.512750973714359
       122.41355999196145        36.68670497328807        310.2760705729499       0.5127700137218381
       122.43241599485762        36.69261230446073         310.312842717101        0.512789051545591
       122.45127199775379       36.698519658185155       310.34961349615173       0.5128080871862029
       122.47012800064996        36.70442703445662        310.3863829103601       0.5128271206442595
       122.48898400354614        36.71033443327043       310.42315095998384       0.5128461519203465
       122.50784000644232        36.71624185462202       310.45991764528077       0.5128651810150497
        122.5266960093385       36.722149298506736       310.49668296650816       0.5128842079289544
       122.54555201223467        36.72805676492016       310.53344692392386       0.5129032326626463
       122.56440801513084       36.733964253857955        310.5702095177851       0.5129222552167111
       122.58326401802701         36.7398717653157        310.6069707483492       0.5129412755917342
       122.60212002092318       36.745779299289225        310.6437306158735       0.5129602937883013
       122.62097602381935       36.751686855774416        310.6804891206151       0.5129793098069982
       122.63983202671552        36.75759443476711        310.7172462628311       0.5129983236484102
        122.6586880296117        36.76350203626339       310.75400204277855       0.5130173353131232
       122.67754403250787       36.769409660259264       310.79075646071414       0.5130363448017226
       122.69640003540404        36.77531730675096       310.82750951689485        0.513055352114794
       122.71525603830021        36.78122497573461        310.8642612115774       0.5130743572529229
       122.73411204119638        36.78713266720672        310.9010115450184       0.5130933602166955
       122.75296804409257        36.79304038116353        310.9377605174743       0.5131123610066968
       122.77182404698874        36.79894811760103       310.97450812920164       0.5131313596235109
       122.79068004988491        36.80485587651327        311.0112543804568       0.5131503560677153
       122.80953605278108       36.810763657893645         311.047999271496       0.5131693503398853
       122.82839205567726        36.81667146173565        311.0847428025755       0.5131883424405962
       122.84724805857343        36.82257928803292        311.1214849739514       0.5132073323704234
        122.8661040614696        36.82848713677912       311.15822578587967       0.5132263201299422
       122.88496006436577         36.8343950079679        311.1949652386163       0.5132453057197277
       122.90381606726194        36.84030290159322       311.23170333241717       0.5132642891403557
       122.92267207015811        36.84621081764887        311.2684400675379       0.5132832703924012
       122.94152807305429        36.85211875612885        311.3051754442343       0.5133022494764395
       122.96038407595046        36.85802671702717        311.3419094627619        0.513321226393046
       122.97924007884663       36.863934700338056        311.3786421233762       0.5133402011427962
        122.9980960817428        36.86984270605566        311.4153734263326       0.5133591737262653
       123.01695208463899        36.87575073417428        311.4521033718865       0.5133781441440287
       123.03580808753516        36.88165878468824         311.488831960293       0.5133971123966616
       123.05466409043133       36.887566857592006        311.5255591918074       0.5134160784847395
        123.0735200933275        36.89347495288009       311.56228506668464       0.5134350424088376
       123.09237609622367       36.899383070547074        311.5990095851798       0.5134540041695314
       123.11123209911985       36.905291210587556       311.63573274754765       0.5134729637673958
       123.13008810201602       36.911199372996435       311.67245455404316       0.5134919212030068
       123.14894410491219        36.91710755776842        311.7091750049209       0.5135108764769393
       123.16780010780836        36.92301576489842        311.7458941004357       0.5135298295897687
       123.18665611070453       36.928923994381464        311.7826118408418       0.5135487805420704
        123.2055121136007        36.93483224621255       311.81932822639385       0.5135677293344197
       123.22436811649688       36.940740520386804        311.8560432573463       0.5135866759673919
       123.24322411939305        36.94664881689942       311.89275693395325       0.5136056204415623
       123.26208012228923        36.95255713574576       311.92946925646913       0.5136245627575065
        123.2809361251854       36.958465476921155        311.9661802251478       0.5136435029157996
       123.29979212808158        36.96437384042095       312.00288984024337       0.5136624409170168
       123.31864813097775        36.97028222624075       312.03959810200985       0.5136813767617338
